# File Performance Tổng Hợp - Theo Dõi Kết Quả Dự Đoán Với Tất Cả Các Limit


Chu kỳ | 123456789000 | 07/04/2025 12:17:37 AM | Số thực tế: 5 (Tài) | Số dự đoán: 6 (Tài) | Vị trí: 0 | Limit được chọn: 15 | Đúng
Chu kỳ | 202504061381 | 07/04/2025 12:17:37 AM | Số thực tế: 3 (Xỉu) | Số dự đoán: 5 (Tài) | Vị trí: 0 | Limit được chọn: 15 | Sai
Chu kỳ | 202504061385 | 07/04/2025 12:18:15 AM | Số thực tế: 9 (Tài) | Số dự đoán: 5 (Tài) | Vị trí: 0 | Limit được chọn: 5 | Đúng
Chu kỳ | 202504061386 | 07/04/2025 12:19:01 AM | Số thực tế: 0 (Xỉu) | Số dự đoán: 2 (Xỉu) | Vị trí: 0 | Limit được chọn: 5 | Đúng
Chu kỳ | 202504061387 | 07/04/2025 12:19:46 AM | Số thực tế: 0 (Xỉu) | Số dự đoán: 5 (Tài) | Vị trí: 0 | Limit được chọn: 5 | Sai
Chu kỳ | 202504061388 | 07/04/2025 12:20:30 AM | Số thực tế: 2 (Xỉu) | Số dự đoán: 6 (Tài) | Vị trí: 0 | Limit được chọn: 5 | Sai
Chu kỳ | 202504061389 | 07/04/2025 12:22:05 AM | Số thực tế: 9 (Tài) | Số dự đoán: 4 (Xỉu) | Vị trí: 0 | Limit được chọn: 5 | Sai
Chu kỳ | 202504061391 | 07/04/2025 12:22:46 AM | Số thực tế: 3 (Xỉu) | Số dự đoán: 3 (Xỉu) | Vị trí: 0 | Limit được chọn: 15 | Đúng
Chu kỳ | 202504061392 | 07/04/2025 12:23:30 AM | Số thực tế: 5 (Tài) | Số dự đoán: 5 (Tài) | Vị trí: 0 | Limit được chọn: 5 | Đúng
Chu kỳ | 202504061393 | 07/04/2025 12:24:15 AM | Số thực tế: 5 (Tài) | Số dự đoán: 6 (Tài) | Vị trí: 0 | Limit được chọn: 5 | Đúng
Chu kỳ | 202504061394 | 07/04/2025 12:25:01 AM | Số thực tế: 2 (Xỉu) | Số dự đoán: 2 (Xỉu) | Vị trí: 0 | Limit được chọn: 5 | Đúng
Chu kỳ | 202504061395 | 07/04/2025 12:25:45 AM | Số thực tế: 6 (Tài) | Số dự đoán: 7 (Tài) | Vị trí: 0 | Limit được chọn: 5 | Đúng
Chu kỳ | 202504061396 | 07/04/2025 12:26:31 AM | Số thực tế: 1 (Xỉu) | Số dự đoán: 1 (Xỉu) | Vị trí: 0 | Limit được chọn: 5 | Đúng
Chu kỳ | 202504061397 | 07/04/2025 12:27:16 AM | Số thực tế: 3 (Xỉu) | Số dự đoán: 6 (Tài) | Vị trí: 0 | Limit được chọn: 5 | Sai
Chu kỳ | 202504061398 | 07/04/2025 12:28:00 AM | Số thực tế: 8 (Tài) | Số dự đoán: 8 (Tài) | Vị trí: 0 | Limit được chọn: 5 | Đúng
Chu kỳ | 202504061399 | 07/04/2025 12:28:46 AM | Số thực tế: 5 (Tài) | Số dự đoán: 2 (Xỉu) | Vị trí: 0 | Limit được chọn: 5 | Sai
Chu kỳ | 202504061400 | 07/04/2025 12:30:17 AM | Số thực tế: 0 (Xỉu) | Số dự đoán: 4 (Xỉu) | Vị trí: 0 | Limit được chọn: 5 | Đúng
Chu kỳ | 202504061401 | 07/04/2025 12:31:53 AM | Số thực tế: 0 (Xỉu) | Số dự đoán: 3 (Xỉu) | Vị trí: 0 | Limit được chọn: 5 | Đúng
Chu kỳ | 202504061404 | 07/04/2025 12:32:48 AM | Số thực tế: 9 (Tài) | Số dự đoán: 6 (Tài) | Vị trí: 0 | Limit được chọn: 5 | Đúng
